time [s]	pressure [bar]	temperature [K]	mass [kg]
0.401211	14.361107	2759.514699	0.001020
0.401217	14.360723	2759.498307	0.001020
0.401222	14.363655	2759.675518	0.001020
0.401228	14.363309	2759.660729	0.001020
0.401233	14.366239	2759.837684	0.001021
0.401239	14.365934	2759.824672	0.001021
0.401244	14.368857	2760.001131	0.001021
0.401250	14.368600	2759.990145	0.001021
0.401256	14.371510	2760.165756	0.001021
0.401261	14.371310	2760.157210	0.001021
0.401267	14.374198	2760.331396	0.001021
0.401272	14.374077	2760.326223	0.001021
0.401278	14.376921	2760.497670	0.001021
0.401283	14.377026	2760.503981	0.001021
0.401289	14.379675	2760.663637	0.001021
0.401294	14.379912	2760.677909	0.001021
0.401300	14.382457	2760.831166	0.001021
0.401306	14.382837	2760.853987	0.001021
0.401311	14.385268	2761.000319	0.001021
0.401317	14.385786	2761.031509	0.001021
0.401322	14.388108	2761.171165	0.001022
0.401328	14.388760	2761.210392	0.001022
0.401333	14.390979	2761.343780	0.001022
0.401339	14.391758	2761.390633	0.001022
0.401344	14.393882	2761.518238	0.001022
0.401350	14.394781	2761.572252	0.001022
0.401356	14.396818	2761.694617	0.001022
0.401361	14.397828	2761.755283	0.001022
0.401367	14.399789	2761.872991	0.001022
0.401372	14.400902	2761.939763	0.001022
0.401378	14.402796	2762.053427	0.001022
0.401383	14.404001	2762.125736	0.001022
0.401389	14.405840	2762.235983	0.001022
0.401394	14.407128	2762.313249	0.001023
0.401400	14.408921	2762.420703	0.001023
0.401406	14.410284	2762.502352	0.001023
0.401411	14.412041	2762.607616	0.001023
0.401417	14.413468	2762.693097	0.001023
0.401422	14.415199	2762.796736	0.001023
0.401428	14.416683	2762.885534	0.001023
0.401433	14.418396	2762.988063	0.001023
0.401439	14.419928	2763.079714	0.001023
0.401444	14.421631	2763.181586	0.001023
0.401450	14.423205	2763.275684	0.001023
0.401456	14.424904	2763.377283	0.001023
0.401461	14.426514	2763.473486	0.001023
0.401467	14.428215	2763.575132	0.001024
0.401472	14.429856	2763.673159	0.001024
0.401478	14.431563	2763.775107	0.001024
0.401483	14.433232	2763.874734	0.001024
0.401489	14.434949	2763.977183	0.001024
0.401494	14.436642	2764.078239	0.001024
0.401500	14.438371	2764.181341	0.001024
0.401506	14.440087	2764.283696	0.001024
0.401511	14.441829	2764.387562	0.001024
0.401517	14.443567	2764.491123	0.001024
0.401522	14.445324	2764.595831	0.001024
0.401528	14.447081	2764.700532	0.001024
0.401533	14.448855	2764.806139	0.001025
0.401539	14.450632	2764.911932	0.001025
0.401544	14.452422	2765.018477	0.001025
0.401550	14.454217	2765.125332	0.001025
0.401556	14.456025	2765.232840	0.001025
0.401561	14.457839	2765.340736	0.001025
0.401567	14.459663	2765.449223	0.001025
0.401572	14.461496	2765.558146	0.001025
0.401578	14.463338	2765.667625	0.001025
0.401583	14.465189	2765.777567	0.001025
0.401589	14.467049	2765.888042	0.001025
0.401594	14.468918	2765.998999	0.001026
0.401600	14.470796	2766.110475	0.001026
0.401606	14.472683	2766.222442	0.001026
0.401611	14.474579	2766.334922	0.001026
0.401617	14.476484	2766.447899	0.001026
0.401622	14.478398	2766.561384	0.001026
0.401628	14.480321	2766.675369	0.001026
0.401633	14.482253	2766.789860	0.001026
