time [s]	crank-angle [deg]	mass flow [kg/s]	enthalpy flow [J/s]	throat area [cm²]
0.401728	211.100000	-0.018458	-74634.619920	8.416542
0.401733	211.200000	-0.018540	-74961.471782	8.426676
0.401739	211.300000	-0.018621	-75288.572672	8.436787
0.401744	211.400000	-0.018703	-75615.918714	8.446876
0.401750	211.500000	-0.018785	-75943.513782	8.456942
0.401756	211.600000	-0.018866	-76271.356595	8.466986
0.401761	211.700000	-0.018948	-76599.449283	8.477008
0.401767	211.800000	-0.019030	-76927.791727	8.487008
0.401772	211.900000	-0.019112	-77256.385281	8.496985
0.401778	212.000000	-0.019194	-77585.230334	8.506940
0.401783	212.100000	-0.019276	-77914.327903	8.516872
0.401789	212.200000	-0.019359	-78243.678595	8.526782
0.401794	212.300000	-0.019441	-78573.283279	8.536669
0.401800	212.400000	-0.019523	-78903.142655	8.546534
0.401806	212.500000	-0.019606	-79233.257529	8.556376
0.401811	212.600000	-0.019688	-79563.628637	8.566196
0.401817	212.700000	-0.019771	-79894.256759	8.575993
0.401822	212.800000	-0.019853	-80225.142642	8.585767
0.401828	212.900000	-0.019936	-80556.287054	8.595519
0.401833	213.000000	-0.020019	-80887.690749	8.605249
0.401839	213.100000	-0.020102	-81219.354486	8.614955
0.401844	213.200000	-0.020184	-81551.279018	8.624639
0.401850	213.300000	-0.020267	-81883.465102	8.634301
0.401856	213.400000	-0.020350	-82215.913491	8.643939
0.401861	213.500000	-0.020434	-82548.624934	8.653555
0.401867	213.600000	-0.020517	-82881.600184	8.663148
0.401872	213.700000	-0.020600	-83214.839990	8.672718
0.401878	213.800000	-0.020683	-83548.345099	8.682266
0.401883	213.900000	-0.020767	-83882.116258	8.691790
0.401889	214.000000	-0.020850	-84216.154212	8.701292
0.401894	214.100000	-0.020934	-84550.459705	8.710771
0.401900	214.200000	-0.021017	-84885.033480	8.720227
0.401906	214.300000	-0.021101	-85219.876277	8.729660
0.401911	214.400000	-0.021184	-85554.988838	8.739070
0.401917	214.500000	-0.021268	-85890.371899	8.748458
0.401922	214.600000	-0.021352	-86226.026199	8.757822
0.401928	214.700000	-0.021436	-86561.952472	8.767163
0.401933	214.800000	-0.021520	-86898.151453	8.776482
0.401939	214.900000	-0.021604	-87234.623874	8.785777
0.401944	215.000000	-0.021688	-87571.370468	8.795049
0.401950	215.100000	-0.021772	-87908.391963	8.804298
0.401956	215.200000	-0.021857	-88245.689089	8.813524
0.401961	215.300000	-0.021941	-88583.262571	8.822728
0.401967	215.400000	-0.022025	-88921.113136	8.831907
0.401972	215.500000	-0.022110	-89259.241508	8.841064
0.401978	215.600000	-0.022194	-89597.648409	8.850198
0.401983	215.700000	-0.022279	-89936.334559	8.859308
0.401989	215.800000	-0.022364	-90275.300679	8.868396
0.401994	215.900000	-0.022449	-90614.547485	8.877460
0.402000	216.000000	-0.022533	-90954.075695	8.886501
