time [s]	pressure [bar]	temperature [K]	mass [kg]
0.401172	3.024423	2560.530451	0.000232
0.401178	3.022566	2560.178869	0.000231
0.401183	3.020711	2559.827535	0.000231
0.401189	3.018859	2559.476450	0.000231
0.401194	3.017009	2559.125615	0.000231
0.401200	3.015161	2558.775032	0.000231
0.401206	3.013315	2558.424700	0.000231
0.401211	3.011472	2558.074620	0.000231
0.401217	3.009630	2557.724794	0.000231
0.401222	3.007791	2557.375222	0.000231
0.401228	3.005955	2557.025905	0.000230
0.401233	3.004120	2556.676844	0.000230
0.401239	3.002288	2556.328040	0.000230
0.401244	3.000458	2555.979493	0.000230
0.401250	2.998630	2555.631205	0.000230
0.401256	2.996804	2555.283176	0.000230
0.401261	2.994981	2554.935407	0.000230
0.401267	2.993160	2554.587899	0.000230
0.401272	2.991341	2554.240652	0.000230
0.401278	2.989524	2553.893668	0.000229
0.401283	2.987710	2553.546948	0.000229
0.401289	2.985898	2553.200491	0.000229
0.401294	2.984088	2552.854299	0.000229
0.401300	2.982281	2552.508372	0.000229
0.401306	2.980475	2552.162712	0.000229
0.401311	2.978672	2551.817320	0.000229
0.401317	2.976872	2551.472195	0.000229
0.401322	2.975073	2551.127339	0.000229
0.401328	2.973277	2550.782752	0.000229
0.401333	2.971483	2550.438436	0.000228
0.401339	2.969691	2550.094390	0.000228
0.401344	2.967902	2549.750617	0.000228
0.401350	2.966115	2549.407116	0.000228
0.401356	2.964330	2549.063888	0.000228
0.401361	2.962547	2548.720934	0.000228
0.401367	2.960767	2548.378256	0.000228
0.401372	2.958989	2548.035852	0.000228
0.401378	2.957213	2547.693725	0.000228
0.401383	2.955440	2547.351875	0.000227
0.401389	2.953668	2547.010303	0.000227
0.401394	2.951899	2546.669009	0.000227
0.401400	2.950133	2546.327994	0.000227
0.401406	2.948368	2545.987259	0.000227
0.401411	2.946606	2545.646805	0.000227
0.401417	2.944847	2545.306632	0.000227
0.401422	2.943089	2544.966742	0.000227
0.401428	2.941334	2544.627134	0.000227
0.401433	2.939581	2544.287809	0.000227
0.401439	2.937831	2543.948768	0.000226
0.401444	2.936082	2543.610013	0.000226
0.401450	2.934336	2543.271543	0.000226
0.401456	2.932593	2542.933359	0.000226
0.401461	2.930851	2542.595462	0.000226
0.401467	2.929112	2542.257852	0.000226
0.401472	2.927376	2541.920531	0.000226
0.401478	2.925641	2541.583499	0.000226
0.401483	2.923909	2541.246756	0.000226
0.401489	2.922179	2540.910304	0.000225
0.401494	2.920452	2540.574142	0.000225
0.401500	2.918726	2540.238273	0.000225
0.401506	2.917003	2539.902695	0.000225
0.401511	2.915283	2539.567410	0.000225
0.401517	2.913565	2539.232419	0.000225
0.401522	2.911849	2538.897722	0.000225
0.401528	2.910135	2538.563320	0.000225
0.401533	2.908424	2538.229213	0.000225
0.401539	2.906715	2537.895403	0.000225
0.401544	2.905008	2537.561889	0.000224
0.401550	2.903303	2537.228673	0.000224
0.401556	2.901601	2536.895754	0.000224
0.401561	2.899902	2536.563135	0.000224
0.401567	2.898204	2536.230814	0.000224
0.401572	2.896509	2535.898793	0.000224
0.401578	2.894816	2535.567073	0.000224
0.401583	2.893126	2535.235654	0.000224
0.401589	2.891438	2534.904537	0.000224
0.401594	2.889752	2534.573721	0.000224
0.401600	2.888068	2534.243209	0.000223
0.401606	2.886387	2533.913000	0.000223
0.401611	2.884708	2533.583096	0.000223
0.401617	2.883032	2533.253496	0.000223
0.401622	2.881357	2532.924201	0.000223
0.401628	2.879685	2532.595212	0.000223
0.401633	2.878016	2532.266530	0.000223
0.401639	2.876349	2531.938154	0.000223
